function	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
RXN8J2-137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RXN8J2-138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RXN8J2-140	75.0	110.0	61.0	121.0	72.5	1.0	0.0	0.0	2.0	1.0	2.0
RXNI-2	0.0	0.0	2.0	2.0	0.0	0.0	2.0	81.0	0.0	0.4	0.8
RXNI-3	0.0	1.0	0.0	2.0	0.67	0.0	1.0	37.5	0.0	0.4	5.8
RXNMETA-12671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
RXNMETA-12672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
RXNN-404	11.17	14.0	21.67	7.0	10.83	229.17	231.33	364.67	231.15	231.8	230.93
RXNQT-4191	1.0	3.0	2.0	2.0	1.34	0.0	2.0	20.0	0.0	0.2	2.4
RXNQT-4366	16.75	23.0	16.75	10.5	3.25	0.0	1.0	18.0	0.0	0.2	1.9
S-2-HYDROXY-ACID-OXIDASE-RXN	50.17	29.67	28.16	33.83	12.67	0.33	0.33	20.67	0.0	0.33	2.5
S-ADENMETSYN-RXN	1235.76	1223.09	1165.08	1397.25	1406.84	256.0	251.41000000000005	289.34	244.65	242.78000000000003	251.73
S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN	314.67	844.6700000000001	790.5	323.67	1519.17	6.0	8.0	48.0	4.0	3.2	1.9
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	0.0	1.0	0.0	1.0	0.67	0.0	1.0	18.0	0.0	0.2	2.4
SAICARSYN-RXN	1114.76	993.59	960.58	1254.75	1047.84	253.0	249.91000000000005	293.34	242.15	242.28000000000003	251.73
SALICYLATE-1-MONOOXYGENASE-RXN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
SAMDECARB-RXN	118.0	159.0	109.0	276.0	129.17000000000002	4.0	1.0	2.0	2.0	1.0	5.0
SARCOX-RXN	0.0	10.0	0.0	4.0	0.0	0.0	0.0	80.0	0.0	1.2000000000000002	5.4
SEDOHEPTULOKINASE-RXN	13.0	101.5	109.5	16.5	249.0	0.0	1.5	5.0	0.5	0.5	0.0
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
SELENOCYSTEINE-LYASE-RXN	916.09	547.4200000000001	469.92	1121.92	424.17	249.17	248.08	265.67	240.65	240.25000000000003	249.83
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
SERINE--TRNA-LIGASE-RXN	1115.01	990.59	960.33	1254.75	1048.09	253.0	249.91000000000005	284.34	242.15	242.28000000000003	251.73
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
SERINE-O-ACETTRAN-RXN	1123.77	997.1	945.24	1233.42	1052.35	253.33	248.24	351.00999999999993	242.15	243.01	253.53
SHIKIMATE-5-DEHYDROGENASE-RXN	1178.26	1110.59	1195.58	1351.25	1184.84	254.5	249.91000000000005	321.34	244.15	243.68000000000004	253.53
SHIKIMATE-KINASE-RXN	1311.26	1545.09	1514.41	1503.25	1796.01	260.5	251.41000000000005	294.34	246.65	244.78000000000003	254.73
SHIKIMATE-PQQ-RXN	0.0	1.0	0.0	1.0	0.0	0.0	0.0	16.0	0.0	0.2	2.4
SIALATE-O-ACETYLESTERASE-RXN	4046.01	1454.34	1596.17	4189.84	1254.6699999999998	319.17	323.83000000000004	299.17	262.15	273.50000000000006	327.33000000000004
SIROHEME-FERROCHELAT-RXN	318.67	645.1700000000001	606.1600000000001	339.83	769.34	7.83	1.83	46.67	4.5	3.03	8.9
SORB6PDEHYDROG-RXN	0.25	0.0	0.75	0.0	0.92	0.0	1.0	0.0	0.0	0.0	0.0
SPERMACTRAN-RXN	820.7599999999999	442.59	538.5799999999999	865.25	345.34000000000003	248.0	246.41000000000005	243.84	238.65	238.58000000000004	251.83
SPERMIDINE-DEHYDROGENASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
SPERMIDINESYN-RXN	227.0	263.0	172.5	378.5	213.17	4.0	2.0	11.0	4.0	2.0	5.0
SS-BUTANEDIOL-DEHYDROGENASE-RXN	45.34	11.0	16.34	46.0	5.66	458.34	456.66	454.34	462.3	462.00000000000006	458.66
STREPTOMYCIN-3-ADENYLYLTRANSFERASE-RXN	0.25	0.0	1.75	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0
STREPTOMYCIN-6-KINASE-RXN	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0
SUCCARGDIHYDRO-RXN	0.0	0.0	0.0	1.0	0.67	0.0	0.0	16.0	0.0	0.2	2.4
SUCCCOASYN-RXN	1376.34	510.34	539.0	1408.84	423.68	30.0	32.0	100.0	11.0	14.4	40.3
SUCCDIAMINOPIMDESUCC-RXN	490.67	868.0	608.67	855.0	942.5	243.17	231.83	254.67	241.65	237.7	238.73
SUCCGLUALDDEHYD-RXN	0.0	0.0	0.0	1.0	0.67	0.0	0.0	16.0	0.0	0.2	2.4
